state,school,major,majorstem,majorstem2,months,jobapply,joboffer2,intern2haveacceptedtheofferfromi,internofferhaveyouacceptedanoffe,jobaccept_salary,topindustry,industry_top_versus_intern,jobaccept_ind,internaccept,education_ind,healthcare_ind,food_ind,computerelectronics_ind,othermanufacturing_ind,retailtrade_ind,finance_ind,accounting_ind,engineering_ind,mangconsult_ind,otherprofservices_ind,recreation_ind,othersupportserv_ind,govt_ind,resource1,resource2,resource3,resource4,resource5,resource6,resource7,resource8,resource9,resource10,resource11,resource12,resource13,resource14,resource15,intern,interntype,interntype2,internduty1,internduty2,internduty3,internduty4,internduty5,internduty6,interndissatisfaction1,interndissatisfaction2,interndissatisfaction3,interndissatisfaction4,interndissatisfaction5,careercentervisit,careercentervisit2,careercenterservice1,careercenterservice2,careercenterservice3,careercenterservice4,careercenterservice5,careercenterservice6,careercenterservice7,careercenterservice8,careercenterservice9,gender,age,gpa,race,parents,jobaccept_count,mthresource1,mthresource2,mthresource3,mthresource4,mthresource5,mthresource6,mthresource7,mthresource8,mthresource9,mthresource10,mthresource11,mthresource12,mthresource13,mthresource14,mthresource15,nu_mthresource1,nu_mthresource2,nu_mthresource3,nu_mthresource4,nu_mthresource5,nu_mthresource6,nu_mthresource7,nu_mthresource8,nu_mthresource9,nu_mthresource10,nu_mthresource11,nu_mthresource12,nu_mthresource13,nu_mthresource14,nu_mthresource15,joboffer,offer,sex,internship,cgpa,firstgen,Age,duration,ethnicity,schoolid,n_sch,broadcategory,_merge,maj1,intensity,informal,informal_intense,fair,fair_intense,empsite,empsite_intense,socntwk,socntwk_intense,media,media_intense,ucs,ucs_intense,cart,major_stem,major_stem2,type_internship,type_internship2,percent_internduty1,percent_internduty2,percent_internduty3,percent_internduty4,percent_internduty5,percent_internduty6,nu_interndissatisfaction1,nu_interndissatisfaction2,nu_interndissatisfaction3,nu_interndissatisfaction4,nu_interndissatisfaction5,visit_careercenter,visit2_careercenter,nu_careercenterservice1,cs_careercenterservice1,nu_careercenterservice2,cs_careercenterservice2,nu_careercenterservice3,cs_careercenterservice3,nu_careercenterservice4,cs_careercenterservice4,nu_careercenterservice5,cs_careercenterservice5,nu_careercenterservice6,cs_careercenterservice6,stem_major
Arizona,Arizona State University-West,Mathematics and Statistics,Mathematics/Statistics,STEM,4,Yes,No,No,NA,NA,"Finance, Insurance, & Real Estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,Extremely useful,Extremely useful,Somewhat useful,Very useful,Did not use,Did not use,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Did not use,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,Over 30,3.25 - 3.49,White,No,3092,Very useful,Somewhat useful,Extremely useful,Extremely useful,Somewhat useful,Very useful,Did not use,Did not use,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Did not use,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,No,0,Male,No,3.25 - 3.49,No,Over 30,4,White,Arizona State University-West,2,Mathematics and Statistics ,matched (3),Mathematics and Statistics,8,0,0,1,2,1,1,0,0,1,2,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Illinois,Elmhurst College,Mathematics and Statistics,Mathematics/Statistics,STEM,5,Yes,No,No,NA,NA,Retail Trade,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Did not use,Somewhat useful,Very useful,Did not use,Did not use,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.5 - 3.74,White,Yes,3092,Somewhat useful,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Did not use,Somewhat useful,Very useful,Did not use,Did not use,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,No,0,Female,No,3.5 - 3.74,Yes,20 to 24,5,White,Elmhurst College,31,Mathematics and Statistics ,matched (3),Mathematics and Statistics,6,1,2,1,1,1,1,1,1,0,0,0,0,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Michigan,Ferris State University,Mathematics and Statistics,Mathematics/Statistics,STEM,1,Yes,Yes,No,NA,NA,Information,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,25 to 30,4,White,Yes,3092,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,Male,No,4,Yes,25 to 30,1,White,Ferris State University,73,Mathematics and Statistics ,matched (3),Mathematics and Statistics,15,1,5,1,2,1,1,1,1,1,3,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Wisconsin,University of Wisconsin-Green Bay,Mathematics and Statistics,Mathematics/Statistics,STEM,10,Yes,Yes,No,NA,"$40,001-$45,000","Finance, Insurance, & Real Estate",NA,"Finance, Insurance, & Real Estate",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,Did not use,Extremely useful,Very useful,Not at all useful,Very useful,Very useful,Did not use,Extremely useful,Extremely useful,Somewhat useful,Extremely useful,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.5 - 3.74,White,No,128,Extremely useful,Extremely useful,Extremely useful,Did not use,Extremely useful,Very useful,Not at all useful,Very useful,Very useful,Did not use,Extremely useful,Extremely useful,Somewhat useful,Extremely useful,Somewhat useful,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,Yes,1,Female,No,3.5 - 3.74,No,20 to 24,10,White,University of Wisconsin-Green Bay,24,Mathematics and Statistics ,matched (3),Mathematics and Statistics,13,1,5,1,2,1,1,1,1,1,3,0,0,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Pennsylvania,Lafayette College,Mathematics and Statistics,Mathematics/Statistics,STEM,10,Yes,Yes,Yes,No,"$70,001-$75,000",NA,NA,Other Professional Services Consulting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Extremely useful,Very useful,Very useful,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Did not use,Did not use,Did not use,Very useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,0,10,10,40,40,0,NA,NA,NA,NA,NA,2-3 / semester,Yes,Very helpful,Very helpful,Did not use,Very helpful,Very helpful,Very helpful,Somewhat helpful,Did not use,Very helpful,Female,20 to 24,3.75 - 3.99,White,Yes,55,Extremely useful,Very useful,Very useful,Extremely useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Extremely useful,Did not use,Did not use,Did not use,Very useful,Did not use,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,Yes,1,Female,"Yes, internship",3.75 - 3.99,Yes,20 to 24,10,White,Lafayette College,87,Mathematics and Statistics ,matched (3),Mathematics and Statistics,7,1,1,1,1,1,1,0,0,1,1,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,"Paid: Private, for-profit company",Paid,0,10,10,40,40,0,0,0,0,0,0,2-3 / semester,Yes,Very helpful,1,Very helpful,1,Did not use,0,Very helpful,1,Very helpful,1,Very helpful,1,STEM
Florida,Embry-Riddle Aeronautical University-Daytona Beach,Mathematics and Statistics,Mathematics/Statistics,STEM,12,Yes,Yes,Yes,Yes,"$75,001-$80,000",Government,Same,Government,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Somewhat useful,Very useful,Not at all useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Somewhat useful,Did not use,Did not use,Extremely useful,Did not use,Did not use,"Yes, internship",Paid; Federal government,Paid,0,25,25,25,25,0,NA,NA,NA,NA,NA,2-3 / semester,Yes,Did not use,Very helpful,Did not use,Did not use,Somewhat helpful,Did not use,Did not use,Did not use,Did not use,Female,20 to 24,2.75 - 2.99,African-American,Yes,36,Somewhat useful,Very useful,Not at all useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Somewhat useful,Did not use,Did not use,Extremely useful,Did not use,Did not use,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,Yes,1,Female,"Yes, internship",2.75 - 2.99,Yes,20 to 24,12,African-American,Embry-Riddle Aeronautical University-Daytona Beach,19,Mathematics and Statistics ,matched (3),Mathematics and Statistics,5,1,1,1,1,1,1,0,0,0,0,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,Paid; Federal government,Paid,0,25,25,25,25,0,0,0,0,0,0,2-3 / semester,Yes,Did not use,0,Very helpful,1,Did not use,0,Did not use,0,Somewhat helpful,1,Did not use,0,STEM
Ohio,Franciscan University of Steubenville,Mathematics and Statistics,Mathematics/Statistics,STEM,3,Yes,No,No,NA,NA,"Finance, Insurance, & Real Estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.75 - 3.99,White,Yes,3092,Extremely useful,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Very useful,Did not use,Did not use,Did not use,Did not use,Did not use,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No,0,Female,No,3.75 - 3.99,Yes,20 to 24,3,White,Franciscan University of Steubenville,27,Mathematics and Statistics ,matched (3),Mathematics and Statistics,3,0,0,1,1,1,1,0,0,0,0,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Kentucky,Kentucky Wesleyan College,Mathematics and Statistics,Mathematics/Statistics,STEM,2,Yes,Yes,Yes,Yes,"$30,001-$35,000",Education,Same,Education,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Extremely useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Very useful,Did not use,Did not use,Somewhat useful,Not at all useful,"Yes, internship",Student teaching assignment at an elementary or secondary sc,Student teaching,8,40,15,25,10,2,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,20 to 24,3.75 - 3.99,White,Yes,85,Very useful,Extremely useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Very useful,Did not use,Did not use,Somewhat useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,Yes,1,Female,"Yes, internship",3.75 - 3.99,Yes,20 to 24,2,White,Kentucky Wesleyan College,7,Mathematics and Statistics ,matched (3),Mathematics and Statistics,13,1,3,1,2,1,1,1,1,1,3,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,Student teaching assignment at an elementary or secondary sc,Student teaching,8,40,15,25,10,2,0,0,0,0,0,Never,No,,,,,,,,,,,,,STEM
Texas,Texas Wesleyan University,Mathematics and Statistics,Mathematics/Statistics,STEM,2,Yes,No,No,NA,NA,Education,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,Extremely useful,Did not use,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,20 to 24,3.25 - 3.49,Hispanic-American,No,3092,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,Extremely useful,Did not use,Did not use,Did not use,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Did not use,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,No,0,Male,No,3.25 - 3.49,No,20 to 24,2,Hispanic-American,Texas Wesleyan University,4,Mathematics and Statistics ,matched (3),Mathematics and Statistics,10,1,4,1,1,1,1,1,1,1,1,0,0,Mathematics and Statistics ,Mathematics/Statistics,STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,STEM
Delaware,University of Delaware,Mathematics and Statistics,Mathematics/Statistics,STEM,9,No,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Very useful,Very useful,Extremely useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Very useful,Not at all useful,Very useful,Somewhat useful,Very useful,Not at all useful,"Yes, internship","Paid: Private, for-profit company",Paid,5,10,5,75,5,0,NA,NA,NA,NA,NA,Once / year,Yes,Very helpful,Did not use,Did not use,Very helpful,Very helpful,Did not use,Did not use,Very helpful,Very helpful,NA,NA,NA,NA,NA,3092,Extremely useful,Very useful,Very useful,Extremely useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Very useful,Not at all useful,Very useful,Somewhat useful,Very useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,,"Yes, internship",,,,9,,University of Delaware,121,Mathematics and Statistics ,matched (3),Mathematics and Statistics,15,1,5,1,2,1,1,1,1,1,3,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,"Paid: Private, for-profit company",Paid,5,10,5,75,5,0,0,0,0,0,0,Once / year,Yes,Very helpful,1,Did not use,0,Did not use,0,Very helpful,1,Very helpful,1,Did not use,0,STEM
California,Harvey Mudd College,Mathematics and Statistics,Mathematics/Statistics,STEM,6,Yes,Yes,Yes,Yes,"More than $80,000",Engineering Services,Same,Engineering Services,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Very useful,Very useful,Did not use,Did not use,Not at all useful,Did not use,Somewhat useful,Did not use,Did not use,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,"Yes, internship","Paid: Private, for-profit company",Paid,0,10,5,35,50,0,NA,NA,NA,NA,NA,Once / semester,Yes,Not very helpful,Somewhat helpful,Did not use,Not very helpful,Not very helpful,Did not use,Did not use,Did not use,Somewhat helpful,Female,20 to 24,3.25 - 3.49,Asian-American,Yes,88,Very useful,Very useful,Did not use,Did not use,Not at all useful,Did not use,Somewhat useful,Did not use,Did not use,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,Yes,1,Female,"Yes, internship",3.25 - 3.49,Yes,20 to 24,6,Asian-American,Harvey Mudd College,18,Mathematics and Statistics ,matched (3),Mathematics and Statistics,9,1,4,1,1,1,1,1,1,1,1,1,1,Mathematics and Statistics ,Mathematics/Statistics,STEM,"Paid: Private, for-profit company",Paid,0,10,5,35,50,0,0,0,0,0,0,Once / semester,Yes,Not very helpful,1,Somewhat helpful,1,Did not use,0,Not very helpful,1,Not very helpful,1,Did not use,0,STEM
Rhode Island,Rhode Island College,NA,NA,non-STEM,3,Yes,Yes,Yes,Yes,"$30,001-$35,000",NA,NA,Social Services,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,"Yes, internship",Unpaid: Non-profit organization,Unpaid,20,50,20,10,0,0,NA,NA,NA,NA,NA,Never,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,25 to 30,3.75 - 3.99,White,Yes,29,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,Female,"Yes, internship",3.75 - 3.99,Yes,25 to 30,3,White,Rhode Island College,58,NA,matched (3),,15,1,5,1,2,1,1,1,1,1,3,1,1,,,non-STEM,Unpaid: Non-profit organization,Unpaid,20,50,20,10,0,0,0,0,0,0,0,Never,No,,,,,,,,,,,,,non-STEM
Delaware,University of Delaware,NA,NA,non-STEM,10,Yes,No,Yes,No,NA,Other Manufacturing,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Somewhat useful,Extremely useful,Not at all useful,Not at all useful,Not at all useful,Extremely useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not at all useful,Not at all useful,Not at all useful,"Yes, internship","Paid: Private, for-profit company",Paid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4+ / semester,Yes,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Not very helpful,Female,20 to 24,3.0 - 3.24,Asian-American,Yes,3092,Somewhat useful,Extremely useful,Not at all useful,Not at all useful,Not at all useful,Extremely useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not at all useful,Not at all useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Female,"Yes, internship",3.0 - 3.24,Yes,20 to 24,10,Asian-American,University of Delaware,121,NA,matched (3),,15,1,5,1,2,1,1,1,1,1,3,1,1,,,non-STEM,"Paid: Private, for-profit company",Paid,,,,,,,0,0,0,0,0,4+ / semester,Yes,Not very helpful,1,Not very helpful,1,Not very helpful,1,Not very helpful,1,Not very helpful,1,Not very helpful,1,non-STEM
West Virginia,West Virginia University,NA,NA,non-STEM,10,Yes,Yes,NA,NA,"$60,001-$65,000",NA,NA,Engineering Services,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,,,,,,10,,West Virginia University,96,NA,matched (3),,,,,,,,,,,,,,,,,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
New York,Buffalo State SUNY,NA,NA,non-STEM,2,Yes,No,Yes,Yes,NA,Retail Trade,Same,NA,Yes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Did not use,Extremely useful,Somewhat useful,Somewhat useful,Not at all useful,Very useful,Somewhat useful,Somewhat useful,Did not use,Somewhat useful,Very useful,Very useful,Somewhat useful,Did not use,Very useful,"Yes, internship","Paid: Private, for-profit company",Paid,5,30,20,10,30,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Did not use,Somewhat helpful,Did not use,Somewhat helpful,Did not use,Somewhat helpful,Not very helpful,Did not use,Did not use,Female,20 to 24,3.75 - 3.99,White,Yes,3092,Did not use,Extremely useful,Somewhat useful,Somewhat useful,Not at all useful,Very useful,Somewhat useful,Somewhat useful,Did not use,Somewhat useful,Very useful,Very useful,Somewhat useful,Did not use,Very useful,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,No,0,Female,"Yes, internship",3.75 - 3.99,Yes,20 to 24,2,White,Buffalo State SUNY,38,NA,matched (3),,12,1,4,0,0,1,1,1,1,1,3,1,1,,,non-STEM,"Paid: Private, for-profit company",Paid,5,30,20,10,30,5,0,0,0,0,0,2-3 / semester,Yes,Did not use,0,Somewhat helpful,1,Did not use,0,Somewhat helpful,1,Did not use,0,Somewhat helpful,1,non-STEM
Maine,University of Maine,NA,NA,non-STEM,5,Yes,No,No,NA,NA,Agriculture,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Not at all useful,Somewhat useful,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Somewhat useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,Over 30,3.75 - 3.99,White,No,3092,Not at all useful,Somewhat useful,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Not at all useful,Somewhat useful,Somewhat useful,Somewhat useful,Not at all useful,Not at all useful,Somewhat useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Female,No,3.75 - 3.99,No,Over 30,5,White,University of Maine,118,NA,matched (3),,15,1,5,1,2,1,1,1,1,1,3,1,1,,,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
California,California State University-San Bernardino,NA,NA,non-STEM,1,Yes,No,Yes,No,NA,Social Services,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Very useful,Extremely useful,Somewhat useful,Not at all useful,Somewhat useful,Very useful,Extremely useful,Did not use,Did not use,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,"Yes, internship",Paid: Non-profit organization,Paid,10,68,0,10,10,2,NA,NA,NA,NA,NA,4+ / semester,Yes,Somewhat helpful,Very helpful,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Female,25 to 30,3.75 - 3.99,Hispanic-American,No,3092,Very useful,Extremely useful,Somewhat useful,Not at all useful,Somewhat useful,Very useful,Extremely useful,Did not use,Did not use,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,No,0,Female,"Yes, internship",3.75 - 3.99,No,25 to 30,1,Hispanic-American,California State University-San Bernardino,78,NA,matched (3),,13,1,4,1,1,1,1,1,1,1,3,1,1,,,non-STEM,Paid: Non-profit organization,Paid,10,68,0,10,10,2,0,0,0,0,0,4+ / semester,Yes,Somewhat helpful,1,Very helpful,1,Somewhat helpful,1,Very helpful,1,Somewhat helpful,1,Somewhat helpful,1,non-STEM
New York,Stony Brook University,NA,NA,non-STEM,2,Yes,Yes,Yes,No,NA,Healthcare,Same,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Extremely useful,Extremely useful,Extremely useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,"Yes, internship",Unpaid: Non-profit organization,Unpaid,40,20,20,10,5,5,NA,NA,NA,NA,NA,2-3 / semester,Yes,Very helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Not very helpful,Not at all helpful,NA,Somewhat helpful,Somewhat helpful,Male,20 to 24,3.0 - 3.24,White,No,3092,Very useful,Extremely useful,Extremely useful,Extremely useful,Somewhat useful,Somewhat useful,Somewhat useful,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,Did not use,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Yes,1,Male,"Yes, internship",3.0 - 3.24,No,20 to 24,2,White,Stony Brook University,98,NA,matched (3),,7,0,0,1,1,1,1,1,1,1,2,0,0,,,non-STEM,Unpaid: Non-profit organization,Unpaid,40,20,20,10,5,5,0,0,0,0,0,2-3 / semester,Yes,Very helpful,1,Somewhat helpful,1,Somewhat helpful,1,Somewhat helpful,1,Not very helpful,1,Not at all helpful,1,non-STEM
Texas,The University of Texas at El Paso,NA,NA,non-STEM,4,Yes,No,No,NA,NA,"Finance, Insurance, & Real Estate",NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not at all useful,Not at all useful,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,20 to 24,3.75 - 3.99,Hispanic-American,Yes,3092,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not at all useful,Not at all useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,0,Male,No,3.75 - 3.99,Yes,20 to 24,4,Hispanic-American,The University of Texas at El Paso,43,NA,matched (3),,15,1,5,1,2,1,1,1,1,1,3,1,1,,,non-STEM,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,non-STEM
Louisiana,Louisiana State University and Agricultural & Mechanical College,NA,NA,non-STEM,5,Yes,Yes,Yes,No,NA,Management Consulting,Different,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,"Yes, internship","Unpaid: Private, for-profit company",Unpaid,15,10,25,25,15,10,NA,NA,NA,NA,NA,2-3 / semester,Yes,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Male,20 to 24,2.75 - 2.99,White,Yes,3092,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,1,Male,"Yes, internship",2.75 - 2.99,Yes,20 to 24,5,White,Louisiana State University and Agricultural & Mechanical College,18,NA,matched (3),,15,1,5,1,2,1,1,1,1,1,3,1,1,,,non-STEM,"Unpaid: Private, for-profit company",Unpaid,15,10,25,25,15,10,0,0,0,0,0,2-3 / semester,Yes,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,Very helpful,1,non-STEM
